longitude,latitude
"426403399,00","7747841287,00"
"426389352,00","7747907976,00"
"426391243,00","7748009577,00"
"426338628,00","7748122578,00"
"426268893,00","7748195916,00"
"426095166,00","7748240553,00"
"425943891,00","7748319517,00"
"425815311,00","7748404508,00"
"425797224,00","7748449,21"
"425781138,00","7748479668,00"
"425774,04","7748516787,00"
"425772876,00","7748541194,00"
"425752524,00","7748549732,00"
"425716869,00","7748542175,00"
"425698898,00","7748535954,00"
"425678881,00","7748534,64"
"425653,42","7748544356,00"
"425621846,00","7748559067,00"
"425597745,00","7748577708,00"
"425570842,00","7748596545,00"
"425547652,00","7748620757,00"
"425514889,00","7748649822,00"
"425426374,00","7748707082,00"
"425353963,00","7748748986,00"
"425325838,00","7748794163,00"
"425315994,00","7748824153,00"
"425312488,00","7748854696,00"
"425308452,00","7748900843,00"
"425302766,00","7748941806,00"
"425271635,00","7749095566,00"
"425221187,00","7749241855,00"
"425182715,00","7749371207,00"
"425087679,00","7749400,30"
"425010729,00","7749411773,00"
"424891948,00","7749440802,00"
"424806858,00","7749599445,00"
"424731223,00","7749669625,00"
"424686559,00","7749712,52"
"424659,41","7749765929,00"
"424649024,00","7749826599,00"
"424683727,00","7749920804,00"
"424697154,00","7750007157,00"
"424697463,00","7750099607,00"
"424624832,00","7750194087,00"
"424530143,00","7750339524,00"
"424402616,00","7750387742,00"
"424380932,00","7750326695,00"
"424414454,00","7750229568,00"
"424517116,00","7750199,68"
"424550561,00","7750096915,00"
"424529,47","7750018359,00"
"424468526,00","7749916742,00"
"424434273,00","7749779,95"
"424402085,00","7749669288,00"
"424463517,00","7749586892,00"
"424522971,00","7749542145,00"
"424600,42","7749574238,00"
"424649167,00","7749608977,00"
"424741319,00","7749500,96"
"424757528,00","7749378034,00"
"424811312,00","7749290886,00"
"424916,17","7749281127,00"
"424987805,00","7749293832,00"
"425042505,00","7749257,33"
"425117507,00","7749130134,00"
"425178529,00","7749075911,00"
"425222978,00","7748961389,00"
"425207689,00","7748853038,00"
"425249918,00","7748676821,00"
"425294548,00","7748563853,00"
"425356479,00","7748501805,00"
"425393653,00","7748440033,00"
"425436673,00","7748378669,00"
"425467263,00","7748329834,00"
"425509791,00","7748281292,00"
"425578838,00","7748242378,00"
"425652222,00","7748213293,00"
"425728308,00","7748237158,00"
"425804452,00","7748261042,00"
"425875,53","7748226049,00"
"425852473,00","7748190678,00"
"425805862,00","7748161111,00"
"425788911,00","7748114,12"
"425777852,00","7748067228,00"
"425761,47","7747985356,00"
"425762857,00","7747892148,00"
"425763855,00","7747817254,00"
"425827,72","7747802555,00"
"425839824,00","7747850149,00"
"425840883,00","7747966341,00"
"425854814,00","7748014961,00"
"425889311,00","7748067726,00"
"425930233,00","7748079612,00"
"426017685,00","7748132725,00"
"426111325,00","7748168343,00"
"426129415,00","7748115639,00"
"426165,26","7748039718,00"
"426230,13","7747987448,00"
"426253927,00","7747927596,00"
"426245874,00","7747892199,00"
"426250211,00","7747819425,00"
"426269933,00","7747764695,00"
"426333998,00","7747641675,00"
"426476889,00","7747610,54"
"426561642,00","7747584124,00"
"426669413,00","7747572,21"
"426692,72","7747635679,00"
"426611128,00","7747710374,00"
"426552736,00","7747756396,00"
"426506052,00","7747756188,00"
"426435939,00","7747779043,00"
"426403399,00","7747841287,00"
